Source,Target,Relationship,Weight,Context
2,1,지지함,1,가정 내 지지
3,1,지지함,1,가정 내 지지
4,1,지지함,1,궁중 내 지지
5,1,지지함,1,궁중 내 지지
6,1,지지함,1,궁중 내 지지
11,1,혼인함,10,혼인 관계/왕과 중전
11,7,혼인함,10,혼인 관계/왕과 후궁/이후에 왕비 책봉
7,12,낳음,10,어머니와 아들
11,1,폐위함,10,왕이 중전을 폐위
11,13,파직함,1,인현왕후 폐위를 반대하자 파직
11,14,파직함,1,인현왕후 폐위를 반대하자 파직
13,1,지지함,1,궁중 내 지지
14,1,지지함,1,궁중 내 지지
15,1,지지함,10,궁중 내 지지/박태보가 인현왕후를 지지
11,15,고문함,10,제소하는 상소를 올리자 숙종이 박태보를 고문
16,15,지지함,1,종질 박칠순이 박태보를 보좌
17,15,지지함,1,영상 권대운이 박태보를 도움
11,18,책봉함,1,장희빈의 아비를 옥산부원군으로 봉함
11,19,책봉함,5,장희빈의 오라비를 훈련대장으로 봉함
11,12,책봉함,5,왕세자로 책봉
19,1,살인 시도,5,장희재가 인현왕후를 사약하려고 함
11,1,복위함,10,숙종이 인현왕후를 복위함
11,19,파직함,5,제주로 안치함
11,18,파직함,1,삭탈관직
11,7,파직함,10,숙종이 장희빈을 다시 후궁으로
8,1,지지함,3,궁중 내 지지/복위를 기뻐함
9,1,지지함,3,궁중 내 지지/복위를 기뻐함
12,20,혼인함,1,세자와 세자빈 혼인
11,20,총애함,1,숙종이 세자빈을 크게 사랑
1,12,총애함,1,인현왕후는 왕세자를 아낌
1,21,총애함,1,인현왕후가 연잉군을 아낌
7,1,살인 시도,10,무당과 점장이를 시켜 축원
11,7,사형,10,숙종이 장희빈에게 사약
11,19,사형,5,극형에 처함
