ID,Name,Role,Frequency,Description
1,인현왕후,중전,10,"숙종의 정비, 복위 중심 인물"
2,계모 조씨,인현왕후 지지 세력,1,인현왕후를 지지하는 세력(가정)
3,동춘 선생,인현왕후 지지 세력,1,인현왕후를 지지하는 세력(가정)
4,영의정 우암,인현왕후 지지 세력,1,인현왕후를 지지하는 세력(궁중)
5,전대비마마1,인현왕후 지지 세력,1,인현왕후를 지지하는 세력(궁중)
6,전대비마마2,인현왕후 지지 세력,1,인현왕후를 지지하는 세력(궁중)
7,장희빈,후궁,,"숙종의 후궁, 인현왕후의 적"
8,명안공주,궁중 사람,3,현종의 셋째 딸
9,대장공주,궁중 사람,3,명안공주의 고모
10,숙의 김씨,궁중 사람,1,숙종대왕의 후궁
11,숙종,조선 19대 왕,10,인현왕후와 장희빈의 갈등 중심
12,왕세자,장희빈의 아들,5,"숙종과 장희빈의 아들, 훗날 경종"
13,좌승지 이이만,인현왕후 지지 세력,1,인현왕후를 지지하는 세력(궁중)
14,수찬 이만원,인현왕후 지지 세력,1,인현왕후를 지지하는 세력(궁중)
15,응교 박태보,인현왕후 지지 세력,10,인현왕후를 지지하는 세력(궁중)
16,박칠순,박태보의 호의세력,1,"박태보의 종질(宗姪), 박태보를 보좌"
17,영상 권대운,박태보의 호의세력,1,박태보의 죄 감소 요청
18,옥산부원군,장희빈의 아버지,1,장희빈의 아버지
19,장희재,장희빈의 오빠,5,장희빈의 오라비로 훈련대장을 제수
20,세자빈,세자의 아내,1,첨정 심호의 딸
21,연잉군,궁중 왕자,1,"후궁의 아들, 훗날 영조"
